mean_b,median_b,real_b,HDI_b_bottom,HDI_b_top
0.2949727744625,0.295464,0.31510517752641654,0.114613,0.46521
0.49096340624999996,0.491277,0.5062120413582447,0.324002,0.653245
0.6800433295,0.6794125,0.560719322965475,0.517749,0.855921
0.827359181875,0.8261609999999999,0.6910031034279894,0.642254,1.02519
0.490293292125,0.49044699999999997,0.5233020030349657,0.299766,0.684051
0.8320860335625,0.830687,0.7177886007477603,0.646656,1.01581
0.797265536125,0.796302,0.6029858957448481,0.617987,0.971903
0.6174294410625,0.617236,0.5914354007200038,0.441089,0.796334
0.55836674625,0.5587855,0.5489996264676121,0.395916,0.729579
0.44125897575,0.44061700000000004,0.3540895460358514,0.29011,0.59693
0.5302061177499999,0.5288900000000001,0.47983883820195994,0.377837,0.692914
0.6050932703749999,0.605436,0.5346318515787645,0.432993,0.784007
0.9201895748125001,0.9209295,0.7337572269298676,0.738284,1.09369
0.658053288125,0.6585225,0.6052378639572206,0.465588,0.847376
0.5694616263124999,0.568829,0.46382082031245386,0.400939,0.740623
0.5464357776875001,0.5471245,0.4293615074009027,0.370966,0.709714
0.8134606926250001,0.812981,0.6727313049688519,0.630868,1.00193
0.3847896452875,0.3848105,0.2941207662517409,0.205811,0.55548
0.7792994056875,0.7798145000000001,0.5852272308710832,0.594318,0.956051
0.6304338936875,0.6309324999999999,0.529773043666003,0.46879,0.799816
0.5814112896874999,0.581664,0.5587371679295942,0.404257,0.755629
0.44509484587500003,0.44475,0.54994274322156,0.28081,0.611234
0.549117885875,0.549045,0.512628830125498,0.385736,0.709726
0.43842108229375004,0.4376225,0.41521448562889274,0.250253,0.637024
0.6341015426875,0.6335,0.5336110500904667,0.468818,0.801394
0.60453538325,0.6048215,0.48829465849919385,0.438476,0.782603
0.6434268405625001,0.6438245,0.6936581354651146,0.468421,0.817602
0.8471642156875,0.846606,0.769207543106023,0.672773,1.02169
0.458429972475,0.4584475,0.40861936049576225,0.294697,0.619021
0.5604978506875,0.560547,0.3952886340384837,0.398948,0.722523
0.5098286595625,0.5101435000000001,0.5596712262760336,0.337557,0.684269
0.543785636,0.544535,0.6358626000192359,0.376575,0.697333
0.5789349306875,0.579572,0.5345800146385217,0.396209,0.754456
0.5328752239375001,0.5336464999999999,0.46630371906039697,0.369552,0.697399
0.6177537193125,0.6176280000000001,0.5318975406055465,0.450688,0.777424
0.37485918362500004,0.374884,0.3918787291357393,0.200595,0.536755
0.21622774418000001,0.21555000000000002,0.26874857317500206,0.0556288,0.371861
0.5455133986875,0.5451010000000001,0.4109084013190919,0.372395,0.730471
0.467538572125,0.468473,0.34172652287114247,0.3029,0.629441
0.9850493155000001,0.98447,0.8755025457878478,0.811478,1.16441
0.589339771875,0.589254,0.5485078413170629,0.418199,0.753882
0.38955048661875,0.389171,0.45440155109131064,0.210828,0.56717
0.30850469214375,0.3091575,0.23924655404875006,0.126739,0.485266
0.35926371844375,0.35883600000000004,0.2954562457717018,0.203899,0.534715
0.6832986495625001,0.6831155,0.5063174551195716,0.495878,0.858814
0.6237934873125001,0.623722,0.6387099732271864,0.463125,0.785211
0.819241193875,0.818316,0.7541537253867037,0.648145,0.982361
0.5186908849999999,0.518633,0.5267858973067489,0.338835,0.697441
0.6416071228125,0.641082,0.503428517611113,0.457811,0.823503
0.39028418386875,0.39002499999999996,0.44768370803960167,0.23381,0.565778
0.74642476,0.7458565,0.6404460264592938,0.57839,0.926075
0.575172526125,0.5754509999999999,0.4528502065660983,0.398747,0.757325
0.6428037148125001,0.6432694999999999,0.6120771183410512,0.475068,0.811689
0.48279225393749997,0.4827725,0.49009689928910943,0.33232,0.634161
0.7207599730625,0.7197720000000001,0.5613375253285342,0.541371,0.898077
0.5327013989375,0.532729,0.3253761745577798,0.370416,0.697209
0.92066899575,0.9205365,0.7570141986156657,0.708225,1.12374
0.7205282569999999,0.7201949999999999,0.6811678050917895,0.541713,0.889067
0.4834325446875,0.48433,0.3724163617103281,0.33413,0.64025
0.599796525375,0.5995345000000001,0.5339971707973246,0.40282,0.789839
0.6398780079374999,0.640012,0.5299715197450074,0.470034,0.801645
0.42661447918749995,0.4262495,0.4865723702235731,0.26059,0.591963
0.4731131805,0.47236350000000005,0.6335482790984277,0.299172,0.654259
0.6786024660000001,0.6783395,0.5438186830246168,0.492106,0.865239
0.5738057161875,0.5727725,0.5237161884467738,0.405755,0.748471
0.491082709625,0.49185049999999997,0.5042601288700437,0.31792,0.664564
0.5820070736875,0.582424,0.5522910325074963,0.421123,0.755287
0.5212832101875,0.5215844999999999,0.561930861907503,0.343467,0.694141
0.4875304093125,0.487428,0.43684295786851607,0.300013,0.665665
0.7077853386249999,0.7070745,0.6002020299095412,0.526196,0.887289
0.6471816005000001,0.6468555,0.6758332109132603,0.465579,0.833094
0.3205538892375,0.3211735,0.28356736140590694,0.159615,0.477213
0.5316198891249999,0.5323964999999999,0.5839769007607456,0.36543,0.694861
0.332468482675,0.331873,0.3538235381564485,0.194085,0.481123
0.4964498298125,0.497007,0.4909775797594812,0.316897,0.671114
0.575970735125,0.577229,0.5077861548302258,0.408519,0.742027
0.40652575321875,0.40675649999999997,0.4141053008579145,0.204305,0.594167
0.6650911378125,0.6645840000000001,0.5221504662401265,0.476793,0.861
0.6595336943125,0.659617,0.6477398116337992,0.490803,0.82902
0.34156418018124995,0.342352,0.32917955343446165,0.183369,0.507995
0.6699249471250001,0.6700215,0.5581018236206773,0.500859,0.833443
0.8623877055625001,0.8620715,0.6552230875011114,0.671642,1.05634
0.77834956,0.7781305000000001,0.6466221349346309,0.61496,0.933407
0.174860769231875,0.171948,0.18966402500354312,0.0273249,0.31982
0.6706408166875,0.6711115,0.48659717767477517,0.475822,0.855101
0.8328477710625,0.831871,0.6823288819712028,0.661545,1.01012
0.7810777591250001,0.7818765000000001,0.6565135248004397,0.580203,0.970432
0.5009411121249999,0.500921,0.4258274061337195,0.338126,0.681653
0.635232783875,0.6355869999999999,0.49038350102126993,0.450926,0.812091
0.47014062675,0.4705595,0.5262400297336591,0.29687,0.640891
0.6626446478124999,0.663025,0.6241484108105185,0.502827,0.826603
0.7610545313749999,0.761108,0.6917687926533339,0.600944,0.924575
0.6896920010625001,0.6894465000000001,0.6001933726679954,0.510673,0.886086
0.708302312125,0.7065285,0.7433579400794488,0.536714,0.885577
0.5818269805,0.5818145,0.4748864784162653,0.417359,0.73849
0.5856857061875,0.585824,0.44972200169894533,0.401504,0.752346
0.5059366611875,0.5062935,0.5405112011340854,0.350657,0.660577
0.3661657768125,0.3671455,0.4084229987765309,0.185838,0.536866
0.5753223066875001,0.575518,0.5692362479919156,0.4014,0.753353
0.9044804801249999,0.904147,0.796133385933183,0.712588,1.09659
